Date,Open,High,Low,Close,Adj Close,Volume
2003-09-03,5.949999809265137,6.0,5.809999942779541,5.90500020980835,3.3505160808563232,61420
2003-09-04,5.849999904632568,5.994999885559082,5.75,5.75,3.2625691890716553,59470
2003-09-05,5.650000095367432,5.800000190734863,5.630000114440918,5.675000190734863,3.22001314163208,27500
2003-09-08,5.925000190734863,5.949999809265137,5.75,5.900000095367432,3.347679376602173,89260
2003-09-09,5.849999904632568,6.150000095367432,5.849999904632568,6.010000228881836,3.410092830657959,137460
2003-09-10,5.900000095367432,5.974999904632568,5.78000020980835,5.800000190734863,3.2909393310546875,24050
2003-09-11,6.0,6.0,5.619999885559082,5.724999904632568,3.2483837604522705,40350
2003-09-12,5.670000076293945,5.695000171661377,5.559999942779541,5.605000019073486,3.18029522895813,31150
2003-09-15,5.579999923706055,5.605000019073486,5.449999809265137,5.449999809265137,3.0923471450805664,20070
2003-09-16,5.5,5.635000228881836,5.5,5.559999942779541,3.1547622680664062,47400
2003-09-17,5.639999866485596,5.650000095367432,5.5,5.505000114440918,3.1235549449920654,29950
2003-09-18,5.690000057220459,6.210000038146973,5.690000057220459,5.96999979019165,3.387397289276123,654650
2003-09-19,5.980000019073486,6.135000228881836,5.800000190734863,6.090000152587891,3.455486297607422,310180
2003-09-22,6.135000228881836,6.199999809265137,5.800000190734863,5.940000057220459,3.370375871658325,82440
2003-09-23,6.045000076293945,6.099999904632568,6.0,6.005000114440918,3.407257080078125,25980
2003-09-24,6.099999904632568,6.699999809265137,6.099999904632568,6.574999809265137,3.7306764125823975,232300
2003-09-25,6.394999980926514,6.800000190734863,6.394999980926514,6.755000114440918,3.83280873298645,157490
2003-09-26,6.744999885559082,7.5,6.744999885559082,7.025000095367432,3.9860081672668457,418610
2003-09-29,7.25,7.25,6.760000228881836,6.775000095367432,3.844156503677368,167660
2003-09-30,6.625,6.949999809265137,6.625,6.889999866485596,3.9094083309173584,87060
2003-10-01,6.875,7.03000020980835,6.800000190734863,6.829999923706055,3.8753647804260254,81500
2003-10-02,6.829999923706055,6.829999923706055,6.829999923706055,6.829999923706055,3.8753647804260254,0
2003-10-03,7.0,7.360000133514404,7.0,7.304999828338623,4.144880294799805,203630
2003-10-06,7.605000019073486,7.650000095367432,7.414999961853027,7.489999771118164,4.249849319458008,274340
2003-10-07,7.5,7.75,7.21999979019165,7.244999885559082,4.110836505889893,222200
2003-10-08,7.369999885559082,7.449999809265137,7.295000076293945,7.394999980926514,4.195947647094727,138560
2003-10-09,7.5,7.5,7.239999771118164,7.264999866485596,4.122185230255127,75000
2003-10-10,7.449999809265137,7.449999809265137,7.114999771118164,7.289999961853027,4.1363701820373535,66410
2003-10-13,7.304999828338623,7.494999885559082,7.15500020980835,7.224999904632568,4.099488735198975,84150
2003-10-14,7.199999809265137,7.349999904632568,6.920000076293945,7.03000020980835,3.9888455867767334,99890
2003-10-15,7.0,7.074999809265137,6.900000095367432,6.909999847412109,3.9207565784454346,71550
2003-10-16,6.900000095367432,7.005000114440918,6.900000095367432,6.989999771118164,3.96614933013916,55530
2003-10-17,6.625,6.980000019073486,6.625,6.900000095367432,3.9150819778442383,40930
2003-10-20,7.034999847412109,7.050000190734863,6.730000019073486,6.800000190734863,3.858342170715332,35890
2003-10-21,6.974999904632568,6.974999904632568,6.619999885559082,6.724999904632568,3.815786838531494,28750
2003-10-22,6.449999809265137,6.610000133514404,6.420000076293945,6.539999961853027,3.7108170986175537,35600
2003-10-23,6.474999904632568,6.625,6.474999904632568,6.619999885559082,3.7562096118927,26610
2003-10-24,6.514999866485596,6.639999866485596,6.5,6.639999866485596,3.7675580978393555,9010
2003-10-27,6.949999809265137,7.065000057220459,6.949999809265137,6.96999979019165,3.954800844192505,30350
2003-10-28,7.0,7.300000190734863,6.800000190734863,6.800000190734863,3.858342170715332,19200
2003-10-29,6.699999809265137,6.835000038146973,6.699999809265137,6.800000190734863,3.858342170715332,12500
2003-10-30,6.889999866485596,7.0,6.889999866485596,6.980000019073486,3.9604744911193848,25410
2003-10-31,7.090000152587891,7.099999904632568,6.900000095367432,7.054999828338623,4.003030776977539,41750
2003-11-03,7.199999809265137,7.25,6.949999809265137,6.980000019073486,3.9604744911193848,96630
2003-11-04,7.159999847412109,7.159999847412109,6.800000190734863,6.929999828338623,3.9321045875549316,33000
2003-11-05,7.050000190734863,7.050000190734863,6.849999904632568,6.894999980926514,3.9122445583343506,58050
2003-11-06,6.724999904632568,8.274999618530273,6.724999904632568,7.795000076293945,4.422907829284668,318730
2003-11-07,8.25,8.399999618530273,7.800000190734863,8.020000457763672,4.550575256347656,322350
2003-11-10,8.444999694824219,8.444999694824219,7.860000133514404,7.980000019073486,4.527878284454346,16700
2003-11-11,7.824999809265137,8.475000381469727,7.824999809265137,8.21500015258789,4.661218166351318,177610
2003-11-12,8.420000076293945,8.5,8.225000381469727,8.354999542236328,4.740653991699219,164210
2003-11-13,8.399999618530273,8.425000190734863,8.0,8.045000076293945,4.564760208129883,75270
2003-11-14,7.920000076293945,7.949999809265137,7.5,7.570000171661377,4.295242786407471,48670
2003-11-17,8.0,8.0,7.795000076293945,7.885000228881836,4.473974227905273,54340
2003-11-18,7.994999885559082,8.149999618530273,7.855000019073486,7.900000095367432,4.482486248016357,107330
2003-11-19,7.65500020980835,7.909999847412109,7.65500020980835,7.800000190734863,4.425745487213135,43370
2003-11-20,7.699999809265137,7.909999847412109,7.650000095367432,7.690000057220459,4.363331317901611,27660
2003-11-21,7.510000228881836,7.53000020980835,7.295000076293945,7.385000228881836,4.190272808074951,55350
2003-11-24,8.0,8.1899995803833,7.764999866485596,7.994999885559082,4.536389350891113,244980
2003-11-25,8.100000381469727,8.699999809265137,8.0,8.489999771118164,4.817253589630127,382320
2003-11-26,8.489999771118164,8.489999771118164,8.489999771118164,8.489999771118164,4.817253589630127,0
2003-11-27,8.75,8.949999809265137,8.5,8.600000381469727,4.87966775894165,313990
2003-11-28,8.609999656677246,9.100000381469727,8.600000381469727,8.925000190734863,5.064075469970703,284590
2003-12-01,9.0,9.28499984741211,8.90999984741211,9.085000038146973,5.1548590660095215,263310
2003-12-02,9.289999961853027,9.399999618530273,9.109999656677246,9.265000343322754,5.256991863250732,298070
2003-12-03,9.479999542236328,9.550000190734863,9.100000381469727,9.145000457763672,5.188903331756592,243260
2003-12-04,9.390000343322754,9.425000190734863,8.859999656677246,8.930000305175781,5.0669121742248535,151500
2003-12-05,9.800000190734863,9.800000190734863,8.600000381469727,8.670000076293945,4.9193854331970215,117100
2003-12-08,8.979999542236328,9.164999961853027,8.649999618530273,8.739999771118164,4.959103584289551,43090
2003-12-09,9.050000190734863,9.079999923706055,8.699999809265137,8.770000457763672,4.9761271476745605,145750
2003-12-10,9.1899995803833,9.1899995803833,8.71500015258789,8.8100004196167,4.998823642730713,101330
2003-12-11,9.279999732971191,9.279999732971191,8.654999732971191,8.845000267028809,5.01868200302124,142020
2003-12-12,8.824999809265137,8.970000267028809,8.5600004196167,8.899999618530273,5.049889087677002,97650
