Date,Open,High,Low,Close,Adj Close,Volume
2007-03-28,351.0,351.0,328.1000061035156,333.3999938964844,291.1820983886719,26689
2007-03-29,335.0,337.0,325.5,326.45001220703125,285.1121520996094,30015
2007-03-30,329.0,355.8999938964844,328.5,336.8999938964844,294.2388916015625,47932
2007-04-02,320.1000061035156,334.6499938964844,319.70001220703125,328.79998779296875,287.16455078125,13909
2007-04-03,339.8500061035156,339.8500061035156,329.0,330.04998779296875,288.2562561035156,10647
2007-04-04,334.8999938964844,336.1000061035156,325.0,326.75,285.3741760253906,14321
2007-04-05,325.04998779296875,334.3999938964844,325.04998779296875,328.45001220703125,286.8589172363281,9311
2007-04-09,333.29998779296875,348.8999938964844,330.6000061035156,343.25,299.7847595214844,18241
2007-04-10,341.0,348.0,340.54998779296875,343.5,300.00311279296875,11805
2007-04-11,343.0,357.0,342.0,345.75,301.96826171875,23640
2007-04-12,341.1000061035156,347.0,341.1000061035156,342.1000061035156,298.7804260253906,8572
2007-04-13,345.0,372.0,340.0,360.6000061035156,314.93780517578125,46634
2007-04-16,364.0,375.0,356.0,361.45001220703125,315.6802062988281,18514
2007-04-17,362.1000061035156,382.0,350.0,356.45001220703125,311.31329345703125,65013
2007-04-18,363.0,374.0,355.0,359.45001220703125,313.9333801269531,80801
2007-04-19,358.5,374.0,351.0,370.75,323.8024597167969,17426
2007-04-20,374.8999938964844,378.0,370.0,370.25,323.36578369140625,9516
2007-04-23,374.95001220703125,375.5,360.5,365.20001220703125,318.95526123046875,21162
2007-04-24,366.3999938964844,368.0,357.25,361.0,315.287109375,15309
2007-04-25,324.8999938964844,369.0,324.8999938964844,360.6499938964844,314.9814147949219,14848
2007-04-26,360.29998779296875,368.25,355.1499938964844,360.0,314.41375732421875,24221
2007-04-27,362.0,371.1000061035156,356.0,360.79998779296875,315.1124267578125,23598
2007-04-30,360.0,377.95001220703125,355.25,373.29998779296875,326.02960205078125,24272
2007-05-03,376.79998779296875,384.75,362.29998779296875,364.5,318.34393310546875,27315
2007-05-04,369.6000061035156,369.6000061035156,355.0,356.20001220703125,311.0949401855469,9653
2007-05-07,368.8500061035156,368.8500061035156,355.0,355.79998779296875,310.7455749511719,8048
2007-05-08,357.0,366.0,350.1000061035156,358.79998779296875,313.36566162109375,13659
2007-05-09,356.25,360.0,350.25,353.6000061035156,308.8241882324219,6701
2007-05-10,353.70001220703125,364.1000061035156,336.0,340.1499938964844,297.0773010253906,16572
2007-05-11,339.95001220703125,354.0,323.1499938964844,337.3500061035156,294.6319274902344,55102
2007-05-14,348.0,363.0,343.0,355.45001220703125,310.4399108886719,36935
2007-05-15,360.0,365.70001220703125,354.0,356.1499938964844,311.0512390136719,30209
2007-05-16,357.29998779296875,375.0,352.0,359.1499938964844,313.67138671875,51259
2007-05-17,373.0,373.0,360.0,363.04998779296875,317.0774841308594,21755
2007-05-18,365.25,372.0,355.1000061035156,356.79998779296875,311.6189880371094,33508
2007-05-21,363.8999938964844,364.70001220703125,350.0,351.3999938964844,306.90277099609375,16215
2007-05-22,354.8999938964844,368.8999938964844,342.5,360.8500061035156,315.1561279296875,24532
2007-05-23,362.20001220703125,365.79998779296875,352.0,352.45001220703125,307.8197937011719,9854
2007-05-24,357.8500061035156,357.8500061035156,342.6499938964844,345.3999938964844,301.6624755859375,6391
2007-05-25,336.0,347.70001220703125,335.1000061035156,342.95001220703125,299.5227355957031,6791
2007-05-28,346.0,348.8500061035156,342.0,343.20001220703125,299.7411804199219,4771
2007-05-29,353.0,353.0,342.0,344.1499938964844,300.5708312988281,5299
2007-05-30,339.75,347.45001220703125,338.0,339.6499938964844,296.6406555175781,6317
2007-05-31,342.1000061035156,344.8999938964844,337.1499938964844,338.8500061035156,295.94189453125,9377
2007-06-01,339.1000061035156,359.3999938964844,339.0,355.8500061035156,310.7892761230469,47476
2007-06-04,360.0,365.0,350.20001220703125,351.79998779296875,307.25213623046875,25138
2007-06-05,348.6000061035156,352.5,343.25,345.54998779296875,301.7934875488281,8607
2007-06-06,346.5,350.25,333.20001220703125,334.6499938964844,292.2737731933594,21570
2007-06-07,333.54998779296875,341.1499938964844,331.20001220703125,334.25,291.9244689941406,20286
2007-06-08,325.0,338.0,319.70001220703125,330.70001220703125,288.82391357421875,16682
2007-06-11,342.95001220703125,342.95001220703125,325.0,325.6499938964844,284.4134521484375,8487
